name,since,until
Exception,5.0,
ErrorException,5.1,
ClosedGeneratorException,5.5,
ArgumentCountError,7.1,
ArithmeticError,7.0,
Throwable,7.0,
Error,7.0,
AssertionError,7.0,
DivisionByZeroError,7.0,
CompileError,7.3,
ParseError,7.0,
TypeError,7.0,
ValueError,8.0,
UnhandledMatchError,8.0,
FiberError,8.1,
RequestParseBodyException,8.4,
IntlChar,7.0,
ReflectionGenerator,7.0,
ReflectionType,7.0,
SessionUpdateTimestampHandlerInterface,7.0,
ReflectionReference,7.4,
WeakReference,7.4,
FFI,7.4,
WeakMap,8.0,
Stringable,8.0,
DOMParentNode,8.0,
DOMChildNode,8.0,
CurlHandle,8.0,
CurlMultiHandle,8.0,
CurlShareHandle,8.0,
EnchantBroker,8.0,
EnchantDictionary,8.0,
GdImage,8.0,
OpenSSLAsymmetricKey,8.0,
OpenSSLCertificate,8.0,
OpenSSLCertificateSigningRequest,8.0,
Shmop,8.0,
AddressInfo,8.0,
Socket,8.0,
SysvMessageQueue,8.0,
SysvSemaphore,8.0,
SysvSharedMemory,8.0,
XMLParser,8.0,
XMLWriter,8.0,
DeflateContext,8.0,
InflateContext,8.0,
DOMNameList,,7.4
DomImplementationList,,7.4
DOMConfiguration,,7.4
DomError,,7.4
DomErrorHandler,,7.4
DOMImplementationSource,,7.4
DOMLocator,,7.4
DOMUserDataHandler,,7.4
DOMTypeInfo,,7.4
DOMStringExtend,,7.4
CURLStringFile,8.1,
finfo,8.1,
IntlDatePatternGenerator,8.1,
ReflectionFiber,8.1,
Fiber,8.1,
DateError,8.3,
DateObjectError,8.3,
DateRangeError,8.3,
DateException,8.3,
DateInvalidOperationException,8.3,
DateInvalidTimeZoneException,8.3,
DateMalformedIntervalStringException,8.3,
DateMalformedPeriodStringException,8.3,
DateMalformedStringException,8.3,
SQLite3Exception,8.3,
Deprecated,8.4,
RequestParseBodyException,8.4,
RoundingMode,8.4,
StreamBucket,8.4,